category,href,num_jobs,date
Universitätsdozenten Mathematik und Naturwissenschaften,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Universit%C3%A4tsdozenten-Mathematik-Und-Naturwissenschaften-Projekte,2,2025-03-18
Lehrer Sekundarstufe I,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Lehrer-Sekundarstufe-I-Projekte,1,2025-03-18
Dekane und Koordinatoren,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Dekane-Und-Koordinatoren-Projekte,1,2025-03-18
Hochschullehrer Mathematik und Naturwissenschaften,/projekte/Forschung-Wissenschaft-Bildung-Projekte/Hochschullehrer-Mathematik-Und-Naturwissenschaften-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
"Kommunikation, Marketing und Öffentlichkeitsarbeit",/projekte/Marketing-Vertrieb-Kommunikation-Projekte,281,2025-03-18
"Manager Kommunikation, Marketing und Öffentlichkeitsarbeit",/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Manager-Kommunikation-Marketing-Und-%C3%96ffentlichkeitsarbeit-Projekte,178,2025-03-18
Vertrieb,/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Vertrieb-Projekte,32,2025-03-18
Kommunikation,/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Kommunikation-Projekte,30,2025-03-18
Marketing,/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Marketing-Projekte,30,2025-03-18
Mitarbeiter Information und Öffentlichkeitsarbeit,/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Mitarbeiter-Information-Und-%C3%96ffentlichkeitsarbeit-Projekte,20,2025-03-18
Mitarbeiter Marketing und Werbung,/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Mitarbeiter-Marketing-Und-Werbung-Projekte,11,2025-03-18
Mitarbeiter Verkaufsförderung,/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Mitarbeiter-Verkaufsf%C3%B6rderung-Projekte,3,2025-03-18
Benefizveranstalter / Spendenaktionäre,/projekte/Marketing-Vertrieb-Kommunikation-Projekte/Benefizveranstalter-Spendenaktion%C3%A4re-Projekte,1,2025-03-18
"Kunst, Kultur und Medien",/projekte/Design-Kunst-Medien-Projekte,169,2025-03-18
"Kunst, Kultur und Medien",/projekte/Design-Kunst-Medien-Projekte/Kunst-Kultur-Und-Medien-sonstige-Projekte,49,2025-03-18
Schriftsteller und Dichter,/projekte/Design-Kunst-Medien-Projekte/Redaktion-Projekte,38,2025-03-18
Illustratoren und Designer,/projekte/Design-Kunst-Medien-Projekte/Illustratoren-Und-Designer-2d-Projekte,25,2025-03-18
Bibliothekare und Dokumentare,/projekte/Design-Kunst-Medien-Projekte/Bibliothekare-Und-Dokumentare-Projekte,22,2025-03-18
Übersetzer und Dolmetscher,/projekte/Design-Kunst-Medien-Projekte/Sonstige-Berufe-Projekte,13,2025-03-18
Illustratoren und Designer,/projekte/Design-Kunst-Medien-Projekte/Illustratoren-Und-Designer-3d-Projekte,11,2025-03-18
Grafik- / Animationssoftware,/projekte/Design-Kunst-Medien-Projekte/Grafik-Animationssoftware-Projekte,9,2025-03-18
Design,/projekte/Design-Kunst-Medien-Projekte/Design-Projekte,8,2025-03-18
