category,href,num_freelancers,date
"Kommunikation, Marketing und Öffentlichkeitsarbeit",/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer,22568,2025-03-18
Marketing,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Marketing-Freelancer,15884,2025-03-18
Kommunikation,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Kommunikation-Freelancer,7682,2025-03-18
Vertrieb,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Vertrieb-Freelancer,5409,2025-03-18
"Manager Kommunikation, Marketing und Öffentlichkeitsarbeit",/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Manager-Kommunikation-Marketing-Und-%C3%96ffentlichkeitsarbeit-Freelancer,632,2025-03-18
Mitarbeiter Marketing und Werbung,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Mitarbeiter-Marketing-Und-Werbung-Freelancer,223,2025-03-18
"Kommunikation, Marketing und Öffentlichkeitsarbeit",/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Kommunikation-Marketing-Und-%C3%96ffentlichkeitsarbeit-sonstige-Freelancer,51,2025-03-18
Mitarbeiter Information und Öffentlichkeitsarbeit,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Mitarbeiter-Information-Und-%C3%96ffentlichkeitsarbeit-Freelancer,23,2025-03-18
Benefizveranstalter / Spendenaktionäre,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Benefizveranstalter-Spendenaktion%C3%A4re-Freelancer,8,2025-03-18
Mitarbeiter Verkaufsförderung,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Mitarbeiter-Verkaufsf%C3%B6rderung-Freelancer,1,2025-03-18
Verleger / Herausgeber,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Verleger-Herausgeber-Freelancer,1,2025-03-18
Manager und Handelsvertreter,/Freelancer/K/Marketing-Vertrieb-Kommunikation-Freelancer/Manager-Und-Handelsvertreter-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
"Recht, Personalwirtschaft und Sozialwesen",/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer,13909,2025-03-18
Training / Schulung / Coaching,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Training-Schulung-Coaching-Freelancer,7471,2025-03-18
Sprache / Übersetzung,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Sprache-Uebersetzung-Freelancer,4233,2025-03-18
Dienstleistung,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Dienstleistung-Freelancer,2559,2025-03-18
Soziales,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Soziales-Freelancer,287,2025-03-18
Personal- und Arbeitsmarktexperten,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Personal-Und-Arbeitsmarktexperten-Freelancer,195,2025-03-18
Kursleiter und Ausbilder,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Sonstige-Berufe-Freelancer,96,2025-03-18
Arbeitsmanager,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Arbeitsmanager-Freelancer,83,2025-03-18
Juristen,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Sonstige-Berufe-Freelancer,51,2025-03-18
Erziehung,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Erziehung-Freelancer,47,2025-03-18
Sozial-gesellschaftliche Arbeiter,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Sozial-gesellschaftliche-Arbeiter-Freelancer,33,2025-03-18
Arbeitsschutzexperten und -inspektoren,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Arbeitsschutzexperten-Und-inspektoren-Freelancer,13,2025-03-18
Hilfspersonal Justiz,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Hilfspersonal-Justiz-Freelancer,8,2025-03-18
"Recht, Personalwirtschaft und Sozialwesen",/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Recht-Personalwirtschaft-Und-Sozialwesen-sonstige-Freelancer,6,2025-03-18
Anwälte und unterstützendes Personal,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Anw%C3%A4lte-Und-Unterst%C3%BCtzendes-Personal-Freelancer,4,2025-03-18
Arbeits- und Einkommensspezialisten öffentlicher Sektor,/Freelancer/K/Sprachen-Dienstleistung-Soziales-Freelancer/Arbeits-Und-Einkommensspezialisten-%C3%B6ffentlicher-Sektor-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Versicherungen und Finanzen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer,9072,2025-03-18
Rechnungswesen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Rechnungswesen-Freelancer,5163,2025-03-18
Finanzwesen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Finanzwesen-Freelancer,3442,2025-03-18
Rechtswesen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Rechtswesen-Freelancer,1975,2025-03-18
Versicherungen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Versicherungen-Freelancer,543,2025-03-18
Wirtschaftsprüfer / Buchhalter / Steuerberater,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Wirtschaftspr%C3%BCfer-Buchhalter-Steuerberater-Freelancer,135,2025-03-18
Manager Versicherungen und Finanzen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Manager-Versicherungen-Und-Finanzen-Freelancer,100,2025-03-18
Finanzexperten,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Finanzexperten-Freelancer,63,2025-03-18
Ökonomen / Wirtschaftsexperten,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Sonstige-Berufe-Freelancer,23,2025-03-18
Finanzdirektoren,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Finanzdirektoren-Freelancer,17,2025-03-18
Mitarbeiter Versicherungen und Finanzen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Sonstige-Berufe-Freelancer,15,2025-03-18
Berater Versicherungen und Finanzen,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Berater-Versicherungen-Und-Finanzen-Freelancer,14,2025-03-18
Versicherungsexperten,/Freelancer/K/Finanzen-Versicherung-Recht-Freelancer/Versicherungsexperten-Freelancer,9,2025-03-18
